поезд;Нахабино;10;пл. Аникеевка;15;пл. Опалиха;5;пл. Красногорская;6;Павшино;8;пл. Пенягино;10;пл. Волоколамская;7;пл. Трикотажная
2001;0:10;;0:23;;0:43;;0:50;;0:58;;1:08;;1:22;;1:31
2003;0:45;;0:59;;1:19;;1:25;;1:33;;1:44;;1:57;;2:07
2005;1:15;;1:28;;1:48;;1:55;;2:03;;2:14;;2:27;;2:36
2007;1:47;;2:00;;2:20;;2:27;;2:35;;2:46;;2:59;;3:08
2009;2:25;;2:39;;2:59;;3:05;;3:13;;3:24;;3:37;;3:47
2011;2:45;;2:58;;3:18;;3:25;;3:33;;3:44;;3:57;;4:06
2013;3:13;;3:27;;3:47;;3:53;;4:01;;4:12;;4:25;;4:35
2015;3:29;;3:42;;4:02;;4:09;;4:17;;4:27;;4:41;;4:50
2017;3:53;;4:06;;4:26;;4:33;;4:41;;4:52;;5:05;;5:14
2019;4:28;;4:42;;5:02;;5:08;;5:16;;5:27;;5:40;;5:50
2021;4:54;;5:07;;5:27;;5:34;;5:42;;5:53;;6:06;;6:15
2023;5:18;;5:32;;5:52;;5:58;;6:06;;6:17;;6:30;;6:40
2025;5:50;;6:03;;6:23;;6:30;;6:38;;6:48;;7:02;;7:11
2027;6:14;;6:28;;6:48;;6:54;;7:02;;7:13;;7:26;;7:36
2029;6:45;;6:58;;7:18;;7:25;;7:33;;7:44;;7:57;;8:06
2031;7:20;;7:33;;7:53;;8:00;;8:08;;8:18;;8:32;;8:41
2033;7:45;;7:59;;8:19;;8:25;;8:33;;8:44;;8:57;;9:07
2035;8:12;;8:26;;8:46;;8:52;;9:00;;9:11;;9:24;;9:34
2037;8:38;;8:51;;9:11;;9:18;;9:26;;9:37;;9:50;;9:59
2039;9:15;;9:28;;9:48;;9:55;;10:03;;10:14;;10:27;;10:36
2041;9:49;;10:02;;10:22;;10:29;;10:37;;10:47;;11:01;;11:10
2043;10:22;;10:36;;10:56;;11:02;;11:10;;11:21;;11:34;;11:44
2045;10:47;;11:00;;11:20;;11:27;;11:35;;11:45;;11:59;;12:08
2047;11:18;;11:32;;11:52;;11:58;;12:06;;12:17;;12:30;;12:40
3449;11:39;;11:52;;12:12;;12:19;;12:27;;12:37;;12:51;;13:00
2051;12:03;;12:16;;12:36;;12:43;;12:51;;13:01;;13:15;;13:24
2053;12:41;;12:55;;13:15;;13:21;;13:29;;13:40;;13:53;;14:03
2055;12:58;;13:12;;13:32;;13:38;;13:46;;13:57;;14:10;;14:20
2057;13:18;;13:32;;13:52;;13:58;;14:06;;14:17;;14:30;;14:40
159;13:48;;14:01;;14:21;;14:28;;14:36;;14:46;;15:00;;15:09
2061;14:06;;14:19;;14:39;;14:46;;14:54;;15:04;;15:18;;15:27
2063;14:35;;14:48;;15:08;;15:15;;15:23;;15:34;;15:47;;15:56
2065;14:57;;15:10;;15:30;;15:37;;15:45;;15:56;;16:09;;16:18
2067;15:30;;15:43;;16:03;;16:10;;16:18;;16:29;;16:42;;16:51
4369;15:57;;16:11;;16:31;;16:37;;16:45;;16:56;;17:09;;17:19
2071;16:17;;16:30;;16:50;;16:57;;17:05;;17:15;;17:29;;17:38
2073;16:37;;16:51;;17:11;;17:17;;17:25;;17:36;;17:49;;17:59
2075;17:14;;17:27;;17:47;;17:54;;18:02;;18:12;;18:26;;18:35
2077;17:51;;18:04;;18:24;;18:31;;18:39;;18:50;;19:03;;19:12
2079;18:27;;18:40;;19:00;;19:07;;19:15;;19:26;;19:39;;19:48
2081;18:50;;19:03;;19:23;;19:30;;19:38;;19:48;;20:02;;20:11
2083;19:21;;19:34;;19:54;;20:01;;20:09;;20:20;;20:33;;20:42
85;19:56;;20:09;;20:29;;20:36;;20:44;;20:55;;21:08;;21:17
2087;20:24;;20:38;;20:58;;21:04;;21:12;;21:23;;21:36;;21:46
2089;21:08;;21:21;;21:41;;21:48;;21:56;;22:07;;22:20;;22:29
2091;21:51;;22:04;;22:24;;22:31;;22:39;;22:49;;23:03;;23:12
2093;22:12;;22:25;;22:45;;22:52;;23:00;;23:11;;23:24;;23:33
2095;22:38;;22:51;;23:11;;23:18;;23:26;;23:36;;23:50;;23:59
2097;23:12;;23:25;;23:45;;23:52;;0:00;;0:11;;0:24;;0:33
2099;23:48;;0:01;;0:21;;0:28;;0:36;;0:47;;1:00;;1:09
2002;1:23;;1:11;;0:53;;0:47;;0:40;;0:30;;0:18;;0:10
2004;1:43;;1:31;;1:13;;1:07;;1:00;;0:50;;0:38;;0:30
2006;2:08;;1:56;;1:38;;1:32;;1:25;;1:15;;1:03;;0:55
2008;2:33;;2:21;;2:03;;1:57;;1:50;;1:40;;1:28;;1:20
2010;3:28;;3:16;;2:58;;2:52;;2:45;;2:35;;2:23;;2:15
2012;4:58;;4:46;;4:28;;4:22;;4:15;;4:05;;3:53;;3:45
2014;6:33;;6:21;;6:03;;5:57;;5:50;;5:40;;5:28;;5:20
2016;7:08;;6:56;;6:38;;6:32;;6:25;;6:15;;6:03;;5:55
18;7:58;;7:46;;7:28;;7:22;;7:15;;7:05;;6:53;;6:45
2020;9:13;;9:01;;8:43;;8:37;;8:30;;8:20;;8:08;;8:00
2022;10:08;;9:56;;9:38;;9:32;;9:25;;9:15;;9:03;;8:55
2024;11:08;;10:56;;10:38;;10:32;;10:25;;10:15;;10:03;;9:55
2026;12:08;;11:56;;11:38;;11:32;;11:25;;11:15;;11:03;;10:55
2028;13:08;;12:56;;12:38;;12:32;;12:25;;12:15;;12:03;;11:55
2030;14:08;;13:56;;13:38;;13:32;;13:25;;13:15;;13:03;;12:55
2032;15:08;;14:56;;14:38;;14:32;;14:25;;14:15;;14:03;;13:55
2034;16:08;;15:56;;15:38;;15:32;;15:25;;15:15;;15:03;;14:55
6036;17:08;;16:56;;16:38;;16:32;;16:25;;16:15;;16:03;;15:55
2038;18:08;;17:56;;17:38;;17:32;;17:25;;17:15;;17:03;;16:55
4340;19:08;;18:56;;18:38;;18:32;;18:25;;18:15;;18:03;;17:55
2042;20:08;;19:56;;19:38;;19:32;;19:25;;19:15;;19:03;;18:55
2044;21:08;;20:56;20:42;20:38;;20:32;;20:25;20:20;20:15;;20:03;;19:55
2046;22:08;;21:56;;21:38;;21:32;;21:25;;21:15;;21:03;;20:55
2048;23:08;;22:56;;22:38;;22:32;;22:25;;22:15;;22:03;;21:55
2050;0:08;;23:56;;23:38;;23:32;;23:25;;23:15;;23:03;;22:55
2052;1:08;;0:56;;0:38;;0:32;;0:25;;0:15;;0:03;;23:55
