61784;54852;61491;53031;53599;50979;56676;64022;58049;58662;50152;60172;50434
;47852;46427;45756;54143;57278;47678;56289;60587;49996;;;
;47503;53107;63347;58001;51806;47380;61758;58354;49809;54032;59441;53094
;53482;;59209;55794;54853;56530;;;;;;
;56534;57165;45552;54790;61397;64865;61552;53820;56231;63863;47996;
;54483;61008;58328;;;51677;45134;50056;62510;50184;;
;56058;56856;50831;45029;60012;52797;58537;55774;59368;54855;61255;58978
;46223;;;;61570;63845;49717;54822;62686;52304;;
;51152;49587;53798;57018;45642;64103;49058;50911;57928;50849;58821;52927
;47238;59523;53922;;;;;;;;;
